Timestamp X Y Theta
1746867591.706 -0.439 -0.000 -0.188
1746867592.708 -0.439 -0.023 -0.188
1746867592.708 -0.439 -0.023 0.089
1746867593.709 -0.384 -0.046 0.089
1746867593.709 -0.384 -0.046 -0.119
1746867594.709 -0.352 -0.025 -0.119
1746867594.709 -0.352 -0.025 -0.395
1746867595.711 -0.344 -0.044 -0.395
1746867595.711 -0.344 -0.044 0.170
1746867596.711 -0.369 -0.136 0.170
1746867596.711 -0.369 -0.136 0.119
1746867597.713 -0.360 -0.106 0.119
1746867597.713 -0.360 -0.106 0.414
1746867598.714 -0.442 -0.135 0.414
1746867598.714 -0.442 -0.135 -0.311
1746867599.715 -0.446 -0.202 -0.311
1746867599.715 -0.446 -0.202 0.252
1746867600.716 -0.406 -0.200 0.252
1746867600.716 -0.406 -0.200 0.166
1746867601.717 -0.447 -0.241 0.166
1746867601.717 -0.447 -0.241 0.355
1746867602.718 -0.489 -0.266 0.355
1746867602.718 -0.489 -0.266 0.059
1746867603.718 -0.536 -0.360 0.059
1746867603.718 -0.536 -0.360 -0.247
1746867604.720 -0.580 -0.429 -0.247
1746867604.720 -0.580 -0.429 0.049
1746867605.720 -0.549 -0.430 0.049
1746867605.720 -0.549 -0.430 0.069
1746867606.720 -0.547 -0.412 0.069
1746867606.720 -0.547 -0.412 0.473
1746867607.722 -0.546 -0.454 0.473
1746867607.722 -0.546 -0.454 -0.353
1746867608.722 -0.523 -0.438 -0.353
1746867608.722 -0.523 -0.438 0.298
1746867609.723 -0.590 -0.464 0.298
1746867609.723 -0.590 -0.464 -0.333
1746867610.724 -0.578 -0.504 -0.333
1746867610.724 -0.578 -0.504 -0.065
1746867611.726 -0.535 -0.527 -0.065
1746867611.726 -0.535 -0.527 0.161
1746867612.727 -0.577 -0.544 0.161
1746867612.727 -0.577 -0.544 -0.303
1746867613.728 -0.541 -0.480 -0.303
1746867613.728 -0.541 -0.480 -0.210
1746867614.729 -0.582 -0.427 -0.210
1746867614.729 -0.582 -0.427 -0.011
1746867615.730 -0.610 -0.460 -0.011
1746867615.730 -0.610 -0.460 -0.446
1746867616.731 -0.562 -0.389 -0.446
1746867616.731 -0.562 -0.389 0.335
1746867617.732 -0.519 -0.395 0.335
1746867617.732 -0.519 -0.395 0.150
1746867618.734 -0.478 -0.272 0.150
1746867618.734 -0.478 -0.271 -0.383
1746867619.735 -0.439 -0.260 -0.383
1746867619.735 -0.439 -0.260 0.181
1746867620.735 -0.378 -0.228 0.181
1746867620.735 -0.378 -0.228 0.082
1746867621.736 -0.376 -0.148 0.082
1746867621.736 -0.376 -0.148 0.318
1746867622.737 -0.374 -0.231 0.318
1746867622.737 -0.374 -0.231 0.455
1746867623.738 -0.323 -0.174 0.455
1746867623.738 -0.323 -0.174 -0.002
1746867624.740 -0.314 -0.254 -0.002
1746867624.740 -0.314 -0.254 -0.330
1746867625.740 -0.263 -0.267 -0.330
1746867625.740 -0.263 -0.267 0.201
1746867626.742 -0.257 -0.270 0.201
1746867626.742 -0.257 -0.270 0.057
1746867627.743 -0.178 -0.247 0.057
1746867627.744 -0.178 -0.247 -0.423
1746867628.744 -0.235 -0.299 -0.423
1746867628.744 -0.235 -0.299 -0.239
1746867629.746 -0.188 -0.325 -0.239
1746867629.746 -0.188 -0.325 0.197
1746867630.747 -0.241 -0.373 0.197
1746867630.747 -0.241 -0.373 -0.151
1746867631.748 -0.199 -0.344 -0.151
1746867631.748 -0.199 -0.344 0.317
1746867632.749 -0.233 -0.394 0.317
1746867632.749 -0.233 -0.394 0.042
1746867633.751 -0.288 -0.366 0.042
1746867633.751 -0.288 -0.366 -0.406
1746867634.752 -0.266 -0.373 -0.406
1746867634.752 -0.266 -0.373 -0.199
1746867635.753 -0.358 -0.341 -0.199
1746867635.753 -0.358 -0.341 -0.143
1746867636.754 -0.292 -0.361 -0.143
1746867636.754 -0.292 -0.361 0.416
1746867637.754 -0.228 -0.404 0.416
1746867637.754 -0.228 -0.404 0.404
1746867638.755 -0.205 -0.474 0.404
1746867638.755 -0.205 -0.474 0.483
1746867639.755 -0.245 -0.561 0.483
1746867639.755 -0.245 -0.561 -0.430
1746867640.756 -0.323 -0.556 -0.430
1746867640.756 -0.323 -0.556 -0.099
1746867641.757 -0.344 -0.502 -0.099
1746867641.757 -0.344 -0.502 0.270
1746867642.758 -0.417 -0.512 0.270
1746867642.758 -0.417 -0.512 0.436
1746867643.759 -0.450 -0.570 0.436
1746867643.759 -0.450 -0.570 0.138
1746867644.760 -0.486 -0.629 0.138
1746867644.760 -0.486 -0.629 0.212
1746867645.761 -0.481 -0.617 0.212
1746867645.761 -0.481 -0.617 0.380
1746867646.763 -0.460 -0.617 0.380
1746867646.763 -0.460 -0.617 -0.213
1746867647.765 -0.389 -0.645 -0.213
1746867647.765 -0.389 -0.645 -0.463
1746867648.765 -0.327 -0.596 -0.463
1746867648.765 -0.327 -0.596 -0.188
1746867649.766 -0.296 -0.601 -0.188
1746867649.766 -0.296 -0.601 -0.107
1746867650.767 -0.261 -0.686 -0.107
1746867650.767 -0.261 -0.686 -0.130
1746867651.767 -0.274 -0.676 -0.130
1746867651.767 -0.274 -0.676 0.431
1746867652.768 -0.241 -0.774 0.431
1746867652.768 -0.241 -0.774 0.204
1746867653.770 -0.262 -0.700 0.204
1746867653.770 -0.262 -0.700 0.297
1746867654.770 -0.300 -0.687 0.297
1746867654.770 -0.300 -0.686 -0.113
1746867655.771 -0.284 -0.738 -0.113
1746867655.771 -0.284 -0.738 0.173
1746867656.772 -0.299 -0.838 0.173
1746867656.772 -0.299 -0.838 -0.180
1746867657.773 -0.344 -0.894 -0.180
1746867657.773 -0.344 -0.894 0.273
1746867658.773 -0.294 -0.855 0.273
1746867658.773 -0.294 -0.855 0.395
1746867659.774 -0.272 -0.877 0.395
1746867659.774 -0.272 -0.877 0.228
1746867660.775 -0.227 -0.875 0.228
1746867660.775 -0.227 -0.875 -0.433
1746867661.777 -0.206 -0.843 -0.433
1746867661.777 -0.206 -0.843 0.484
1746867662.779 -0.300 -0.878 0.484
1746867662.779 -0.300 -0.878 -0.177
1746867663.779 -0.358 -0.892 -0.177
1746867663.779 -0.358 -0.892 -0.018
1746867664.781 -0.387 -0.889 -0.018
1746867664.781 -0.387 -0.889 -0.015
1746867665.782 -0.383 -0.949 -0.015
1746867665.782 -0.383 -0.949 -0.297
1746867666.784 -0.446 -0.928 -0.297
1746867666.784 -0.446 -0.928 0.046
1746867667.785 -0.391 -0.899 0.046
1746867667.785 -0.391 -0.899 -0.122
1746867668.786 -0.430 -0.898 -0.122
1746867668.786 -0.430 -0.898 -0.033
1746867669.787 -0.434 -0.861 -0.033
1746867669.787 -0.434 -0.861 -0.017
1746867670.788 -0.500 -0.840 -0.017
1746867670.788 -0.500 -0.840 0.019
1746867671.789 -0.412 -0.884 0.019
1746867671.789 -0.412 -0.884 -0.005
1746867672.791 -0.450 -0.915 -0.005
1746867672.791 -0.450 -0.915 -0.230
