Timestamp Roll Pitch Yaw Qw Qx Qy Qz
1746867580.697 0.47 0.29 -0.13 1.0000 0.0000 0.0000 0.0000
1746867581.697 1.78 0.06 0.07 1.0000 0.0000 0.0000 0.0000
1746867582.698 0.07 0.26 0.34 1.0000 0.0000 0.0000 0.0000
1746867583.699 -2.52 -0.26 0.02 1.0000 0.0000 0.0000 0.0000
1746867584.701 1.51 -0.12 -0.22 1.0000 0.0000 0.0000 0.0000
1746867585.702 0.17 -0.20 0.09 1.0000 0.0000 0.0000 0.0000
1746867586.702 -0.97 0.04 0.03 1.0000 0.0000 0.0000 0.0000
1746867587.703 0.30 -0.08 0.41 1.0000 0.0000 0.0000 0.0000
1746867588.704 -2.86 0.03 -0.27 1.0000 0.0000 0.0000 0.0000
1746867589.705 -2.05 -0.05 0.01 1.0000 0.0000 0.0000 0.0000
1746867590.706 -1.84 -0.19 -0.44 1.0000 0.0000 0.0000 0.0000
1746867591.706 2.27 0.04 -0.19 1.0000 0.0000 0.0000 0.0000
1746867592.708 2.68 -0.30 0.09 1.0000 0.0000 0.0000 0.0000
1746867593.709 0.45 0.13 -0.12 1.0000 0.0000 0.0000 0.0000
1746867594.709 -1.95 0.12 -0.39 1.0000 0.0000 0.0000 0.0000
1746867595.711 2.98 0.08 0.17 1.0000 0.0000 0.0000 0.0000
1746867596.711 2.24 0.02 0.12 1.0000 0.0000 0.0000 0.0000
1746867597.713 -2.42 -0.12 0.41 1.0000 0.0000 0.0000 0.0000
1746867598.714 -2.96 -0.27 -0.31 1.0000 0.0000 0.0000 0.0000
1746867599.715 0.66 0.02 0.25 1.0000 0.0000 0.0000 0.0000
1746867600.716 -0.59 0.09 0.17 1.0000 0.0000 0.0000 0.0000
1746867601.717 -0.30 0.02 0.36 1.0000 0.0000 0.0000 0.0000
1746867602.718 2.35 0.11 0.06 1.0000 0.0000 0.0000 0.0000
1746867603.718 -0.93 0.08 -0.25 1.0000 0.0000 0.0000 0.0000
1746867604.720 3.05 0.11 0.05 1.0000 0.0000 0.0000 0.0000
1746867605.720 2.57 0.23 0.07 1.0000 0.0000 0.0000 0.0000
1746867606.720 -2.43 -0.16 0.47 1.0000 0.0000 0.0000 0.0000
1746867607.722 -1.03 -0.16 -0.35 1.0000 0.0000 0.0000 0.0000
1746867608.722 -2.35 -0.13 0.30 1.0000 0.0000 0.0000 0.0000
1746867609.723 1.22 0.23 -0.33 1.0000 0.0000 0.0000 0.0000
1746867610.724 2.99 -0.03 -0.07 1.0000 0.0000 0.0000 0.0000
1746867611.726 -1.87 0.24 0.16 1.0000 0.0000 0.0000 0.0000
1746867612.727 -2.38 -0.06 -0.30 1.0000 0.0000 0.0000 0.0000
1746867613.728 2.68 -0.21 -0.21 1.0000 0.0000 0.0000 0.0000
1746867614.729 2.19 -0.04 -0.01 1.0000 0.0000 0.0000 0.0000
1746867615.730 2.63 0.09 -0.45 1.0000 0.0000 0.0000 0.0000
1746867616.731 -0.05 0.12 0.34 1.0000 0.0000 0.0000 0.0000
1746867617.732 2.02 -0.20 0.15 1.0000 0.0000 0.0000 0.0000
1746867618.734 -1.05 0.13 -0.38 1.0000 0.0000 0.0000 0.0000
1746867619.735 0.17 -0.22 0.18 1.0000 0.0000 0.0000 0.0000
1746867620.735 -0.92 0.26 0.08 1.0000 0.0000 0.0000 0.0000
1746867621.736 1.71 -0.17 0.32 1.0000 0.0000 0.0000 0.0000
1746867622.737 -1.22 -0.05 0.46 1.0000 0.0000 0.0000 0.0000
1746867623.738 0.33 0.27 -0.00 1.0000 0.0000 0.0000 0.0000
1746867624.740 -2.07 -0.02 -0.33 1.0000 0.0000 0.0000 0.0000
1746867625.740 -1.73 -0.14 0.20 1.0000 0.0000 0.0000 0.0000
1746867626.742 -0.91 -0.02 0.06 1.0000 0.0000 0.0000 0.0000
1746867627.743 2.66 0.10 -0.42 1.0000 0.0000 0.0000 0.0000
1746867628.744 -2.41 -0.17 -0.24 1.0000 0.0000 0.0000 0.0000
1746867629.746 1.46 0.18 0.20 1.0000 0.0000 0.0000 0.0000
1746867630.747 1.05 0.08 -0.15 1.0000 0.0000 0.0000 0.0000
1746867631.748 1.52 0.03 0.32 1.0000 0.0000 0.0000 0.0000
1746867632.749 2.98 -0.09 0.04 1.0000 0.0000 0.0000 0.0000
1746867633.751 -0.16 -0.12 -0.41 1.0000 0.0000 0.0000 0.0000
1746867634.752 0.41 0.04 -0.20 1.0000 0.0000 0.0000 0.0000
1746867635.753 2.96 0.05 -0.14 1.0000 0.0000 0.0000 0.0000
1746867636.754 -1.94 0.08 0.42 1.0000 0.0000 0.0000 0.0000
1746867637.754 0.46 -0.21 0.40 1.0000 0.0000 0.0000 0.0000
1746867638.755 -2.91 0.00 0.48 1.0000 0.0000 0.0000 0.0000
1746867639.755 2.22 -0.08 -0.43 1.0000 0.0000 0.0000 0.0000
1746867640.756 -2.17 -0.07 -0.10 1.0000 0.0000 0.0000 0.0000
1746867641.757 -3.08 -0.29 0.27 1.0000 0.0000 0.0000 0.0000
1746867642.758 2.04 0.15 0.44 1.0000 0.0000 0.0000 0.0000
1746867643.759 -1.83 -0.08 0.14 1.0000 0.0000 0.0000 0.0000
1746867644.760 -2.98 0.24 0.21 1.0000 0.0000 0.0000 0.0000
1746867645.761 2.75 -0.14 0.38 1.0000 0.0000 0.0000 0.0000
1746867646.763 -1.68 -0.05 -0.21 1.0000 0.0000 0.0000 0.0000
1746867647.765 -0.66 0.02 -0.46 1.0000 0.0000 0.0000 0.0000
1746867648.765 -1.85 0.06 -0.19 1.0000 0.0000 0.0000 0.0000
1746867649.766 2.43 0.18 -0.11 1.0000 0.0000 0.0000 0.0000
1746867650.767 -2.01 0.26 -0.13 1.0000 0.0000 0.0000 0.0000
1746867651.767 -0.15 0.01 0.43 1.0000 0.0000 0.0000 0.0000
1746867652.768 -1.36 -0.04 0.20 1.0000 0.0000 0.0000 0.0000
1746867653.770 -0.20 -0.28 0.30 1.0000 0.0000 0.0000 0.0000
1746867654.770 0.21 -0.11 -0.11 1.0000 0.0000 0.0000 0.0000
1746867655.771 -0.43 0.04 0.17 1.0000 0.0000 0.0000 0.0000
1746867656.772 -2.83 0.14 -0.18 1.0000 0.0000 0.0000 0.0000
1746867657.773 -2.22 -0.26 0.27 1.0000 0.0000 0.0000 0.0000
1746867658.773 -2.32 0.23 0.39 1.0000 0.0000 0.0000 0.0000
1746867659.774 -1.32 0.21 0.23 1.0000 0.0000 0.0000 0.0000
1746867660.775 2.14 0.12 -0.43 1.0000 0.0000 0.0000 0.0000
1746867661.777 -2.19 -0.16 0.48 1.0000 0.0000 0.0000 0.0000
1746867662.779 1.42 -0.17 -0.18 1.0000 0.0000 0.0000 0.0000
1746867663.779 -0.29 -0.00 -0.02 1.0000 0.0000 0.0000 0.0000
1746867664.781 1.67 -0.03 -0.01 1.0000 0.0000 0.0000 0.0000
1746867665.782 -1.76 0.01 -0.30 1.0000 0.0000 0.0000 0.0000
1746867666.784 1.98 0.16 0.05 1.0000 0.0000 0.0000 0.0000
1746867667.785 0.23 -0.12 -0.12 1.0000 0.0000 0.0000 0.0000
1746867668.786 -2.38 0.15 -0.03 1.0000 0.0000 0.0000 0.0000
1746867669.787 -2.98 0.27 -0.02 1.0000 0.0000 0.0000 0.0000
1746867670.788 1.60 0.08 0.02 1.0000 0.0000 0.0000 0.0000
1746867671.789 0.50 0.28 -0.00 1.0000 0.0000 0.0000 0.0000
1746867672.791 2.46 -0.26 -0.23 1.0000 0.0000 0.0000 0.0000
